filename,person,class_name,split,data_type,augmentation,source_filename
me_train_original_0000.jpg,me,class_A,train,original,none,me_0021.jpg
me_train_aug_horizontal_flip_0000.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0021.jpg
me_train_aug_brightness_0000.jpg,me,class_A,train,conventional_augmented,brightness,me_0021.jpg
me_train_aug_rotation_0000.jpg,me,class_A,train,conventional_augmented,rotation,me_0021.jpg
me_train_aug_gaussian_noise_0000.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0021.jpg
me_train_original_0001.jpg,me,class_A,train,original,none,me_0000.jpg
me_train_aug_horizontal_flip_0001.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0000.jpg
me_train_aug_brightness_0001.jpg,me,class_A,train,conventional_augmented,brightness,me_0000.jpg
me_train_aug_rotation_0001.jpg,me,class_A,train,conventional_augmented,rotation,me_0000.jpg
me_train_aug_gaussian_noise_0001.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0000.jpg
me_train_original_0002.jpg,me,class_A,train,original,none,me_0026.jpg
me_train_aug_horizontal_flip_0002.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0026.jpg
me_train_aug_brightness_0002.jpg,me,class_A,train,conventional_augmented,brightness,me_0026.jpg
me_train_aug_rotation_0002.jpg,me,class_A,train,conventional_augmented,rotation,me_0026.jpg
me_train_aug_gaussian_noise_0002.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0026.jpg
me_train_original_0003.jpg,me,class_A,train,original,none,me_0013.jpg
me_train_aug_horizontal_flip_0003.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0013.jpg
me_train_aug_brightness_0003.jpg,me,class_A,train,conventional_augmented,brightness,me_0013.jpg
me_train_aug_rotation_0003.jpg,me,class_A,train,conventional_augmented,rotation,me_0013.jpg
me_train_aug_gaussian_noise_0003.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0013.jpg
me_train_original_0004.jpg,me,class_A,train,original,none,me_0015.jpg
me_train_aug_horizontal_flip_0004.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0015.jpg
me_train_aug_brightness_0004.jpg,me,class_A,train,conventional_augmented,brightness,me_0015.jpg
me_train_aug_rotation_0004.jpg,me,class_A,train,conventional_augmented,rotation,me_0015.jpg
me_train_aug_gaussian_noise_0004.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0015.jpg
me_train_original_0005.jpg,me,class_A,train,original,none,me_0011.jpg
me_train_aug_horizontal_flip_0005.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0011.jpg
me_train_aug_brightness_0005.jpg,me,class_A,train,conventional_augmented,brightness,me_0011.jpg
me_train_aug_rotation_0005.jpg,me,class_A,train,conventional_augmented,rotation,me_0011.jpg
me_train_aug_gaussian_noise_0005.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0011.jpg
me_train_original_0006.jpg,me,class_A,train,original,none,me_0017.jpg
me_train_aug_horizontal_flip_0006.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0017.jpg
me_train_aug_brightness_0006.jpg,me,class_A,train,conventional_augmented,brightness,me_0017.jpg
me_train_aug_rotation_0006.jpg,me,class_A,train,conventional_augmented,rotation,me_0017.jpg
me_train_aug_gaussian_noise_0006.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0017.jpg
me_train_original_0007.jpg,me,class_A,train,original,none,me_0001.jpg
me_train_aug_horizontal_flip_0007.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0001.jpg
me_train_aug_brightness_0007.jpg,me,class_A,train,conventional_augmented,brightness,me_0001.jpg
me_train_aug_rotation_0007.jpg,me,class_A,train,conventional_augmented,rotation,me_0001.jpg
me_train_aug_gaussian_noise_0007.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0001.jpg
me_train_original_0008.jpg,me,class_A,train,original,none,me_0004.jpg
me_train_aug_horizontal_flip_0008.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0004.jpg
me_train_aug_brightness_0008.jpg,me,class_A,train,conventional_augmented,brightness,me_0004.jpg
me_train_aug_rotation_0008.jpg,me,class_A,train,conventional_augmented,rotation,me_0004.jpg
me_train_aug_gaussian_noise_0008.jpg,me,class_A,train,conventional_augmented,gaussian_noise,me_0004.jpg
me_train_original_0009.jpg,me,class_A,train,original,none,me_0005.jpg
me_train_aug_horizontal_flip_0009.jpg,me,class_A,train,conventional_augmented,horizontal_flip,me_0005.jpg
me_train_aug_brightness_0009.jpg,me,class_A,train,conventional_augmented,brightness,me_0005.jpg
me_train_aug_rotation_0009.jpg,me,class_A,train,conventional_augmented,rotation,me_0005.jpg
